"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Protestant,,Weekly or more,Never,Never,Never,A few times per week,Once a month or less,A few times per month,A few times per month,Never,Never,Never,60+,Female,"$25,000 to $49,999",New England
Orthodox Christian,,Less than weekly,Once a year or less,Never,Never,Once a year or less,Never,A few times per month,Once a year or less,Never,Never,Never,60+,Female,"$25,000 to $49,999",West North Central
None of these,Non-denominational spiritual,Weekly or more,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,60+,Female,"$25,000 to $49,999",Pacific
None of these,Non-religious,Never,Never,Never,Never,Once a year or less,Never,Once a year or less,Never,Never,Never,Never,18 - 29,Male,"$175,000 to $199,999",Middle Atlantic
None of these,Anglican,Less than weekly,Never,Never,Never,A few times per month,Never,Never,Never,Once a year or less,Never,Never,60+,Female,"$175,000 to $199,999",East North Central
None of these,None,Never,Never,Never,Never,Never,Never,Never,Never,,Never,Never,60+,Female,"$75,000 to $99,999",Pacific
Protestant,,Less than weekly,Once a year or less,A few times per month,A few times per week,A few times per week,A few times per week,A few times per month,Every day,A few times per week,Not applicable to my religious beliefs,Once a year or less,45 - 59,Male,"$10,000 to $24,999",South Atlantic
Protestant,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$200,000 and up",West North Central
Jewish,,Less than weekly,Never,Never,Once a year or less,Never,Never,A few times per month,A few times per month,Never,Once a month or less,Once a year or less,45 - 59,Male,"$200,000 and up",New England
Protestant,,Less than weekly,Never,Never,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Never,Never,Never,60+,Female,"$125,000 to $149,999",South Atlantic
Jewish,,Less than weekly,Never,Never,Never,Once a month or less,Never,Once a month or less,Once a year or less,Never,Never,Never,60+,Female,Prefer not to answer,Middle Atlantic
Protestant,,Never,Never,Never,Never,Once a year or less,Never,Once a year or less,Never,Never,Never,Never,60+,Female,"$50,000 to $74,999",Pacific
Jewish,,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,60+,Female,"$200,000 and up",Pacific
Muslim,,Weekly or more,Never,Never,Not applicable to my religious beliefs,A few times per week,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,45 - 59,Male,"$0 to $9,999",East North Central
