"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Roman Catholic,,Weekly or more,A few times per month,Never,Once a year or less,A few times per week,Never,Once a month or less,Once a month or less,Once a year or less,Every day,Once a year or less,60+,Male,"$75,000 to $99,999",West South Central
Jewish,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,,Never,,Never,,Never,45 - 59,Female,Prefer not to answer,East North Central
Roman Catholic,,Weekly or more,Every day,Every day,Every day,A few times per week,Once a month or less,Once a month or less,Once a month or less,Once a month or less,Every day,Once a month or less,30 - 44,Male,"$25,000 to $49,999",West South Central
Atheist,,,,,,,,,,,,,30 - 44,Female,Prefer not to answer,Pacific
Orthodox Christian,,Less than weekly,Never,Never,Never,A few times per month,Never,Never,A few times per month,Never,Never,Never,30 - 44,Female,"$100,000 to $124,999",West South Central
None of these,Christian - Lutheran,Less than weekly,Never,Never,Never,Once a month or less,Never,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,30 - 44,Male,"$125,000 to $149,999",West North Central
Protestant,,Less than weekly,Once a month or less,Never,Once a month or less,A few times per month,A few times per month,A few times per month,A few times per month,Never,Once a year or less,Once a year or less,45 - 59,Female,"$50,000 to $74,999",West North Central
Protestant,,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per week,A few times per month,Once a month or less,Once a month or less,Once a year or less,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Male,"$50,000 to $74,999",East North Central
Orthodox Christian,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Every day,Never,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
Protestant,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$125,000 to $149,999",Pacific
Protestant,,Weekly or more,Never,Never,Once a year or less,Once a month or less,Once a month or less,Once a month or less,Once a year or less,Once a year or less,Once a month or less,Never,60+,Female,"$50,000 to $74,999",East South Central
Jewish,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Once a month or less,Never,Never,Never,Not applicable to my religious beliefs,Never,Never,60+,Male,Prefer not to answer,East South Central
Roman Catholic,,Never,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,30 - 44,Female,"$125,000 to $149,999",Middle Atlantic
Roman Catholic,,Less than weekly,A few times per month,Never,Once a year or less,Once a month or less,Once a year or less,Never,Never,Once a year or less,A few times per month,Never,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
None of these,No particular religious beliefs,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
Atheist,,,,,,,,,,,,,60+,Male,"$125,000 to $149,999",Pacific
None of these,Christian,Less than weekly,Never,Never,Every day,A few times per week,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$0 to $9,999",West South Central
Protestant,,Weekly or more,Every day,A few times per week,A few times per week,A few times per month,A few times per week,Once a month or less,Once a month or less,A few times per month,Once a month or less,Once a month or less,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
None of these,none,Never,Never,Once a year or less,,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",South Atlantic
None of these,See last answer !!,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$50,000 to $74,999",Pacific
Protestant,,Never,Never,Never,Never,Once a month or less,Never,Once a year or less,Never,Never,Once a year or less,Never,45 - 59,Female,"$25,000 to $49,999",West North Central
Roman Catholic,,Never,Never,Not applicable to my religious beliefs,Never,Once a year or less,Never,Never,Never,,Never,Never,45 - 59,Female,Prefer not to answer,Middle Atlantic
Protestant,,Never,Never,Never,Never,Never,Never,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Female,"$10,000 to $24,999",West North Central
Roman Catholic,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
Roman Catholic,,Weekly or more,Every day,Once a month or less,Once a month or less,A few times per month,Every day,Never,Never,Never,A few times per week,Once a year or less,18 - 29,Female,"$25,000 to $49,999",West South Central
Protestant,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Female,"$25,000 to $49,999",Pacific
None of these,i dont care about religion,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,Prefer not to answer,New England
Roman Catholic,,Less than weekly,A few times per month,Once a month or less,Every day,A few times per month,A few times per month,A few times per month,Once a month or less,Never,A few times per month,Once a year or less,45 - 59,Female,"$125,000 to $149,999",South Atlantic
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Female,"$75,000 to $99,999",South Atlantic
Roman Catholic,,Less than weekly,Once a month or less,Never,Once a month or less,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,45 - 59,Female,Prefer not to answer,Pacific
None of these,Spiritual,Never,Never,Never,Once a year or less,A few times per month,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",East South Central
None of these,No religion,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",South Atlantic
Protestant,,Never,Every day,Never,A few times per week,Every day,Not applicable to my religious beliefs,A few times per month,Not applicable to my religious beliefs,Never,Never,Never,30 - 44,Female,"$75,000 to $99,999",East South Central
Roman Catholic,,Never,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,30 - 44,Female,Prefer not to answer,East North Central
Roman Catholic,,Less than weekly,A few times per month,Never,A few times per month,A few times per month,A few times per month,Once a year or less,Once a year or less,Once a month or less,Never,Once a year or less,60+,Male,"$200,000 and up",Middle Atlantic
Roman Catholic,,Less than weekly,Every day,Never,Never,A few times per week,A few times per week,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,60+,Female,Prefer not to answer,Pacific
Protestant,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",East North Central
Protestant,,Weekly or more,Once a month or less,Never,A few times per month,A few times per week,Never,A few times per month,Once a year or less,Never,Never,Once a year or less,45 - 59,Female,Prefer not to answer,West South Central
Jewish,,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Once a year or less,Never,45 - 59,Female,"$175,000 to $199,999",Pacific
Protestant,,Never,Once a year or less,Not applicable to my religious beliefs,Every day,Once a month or less,Once a year or less,Once a month or less,Once a year or less,Not applicable to my religious beliefs,Every day,Never,30 - 44,Female,"$0 to $9,999",South Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,60+,Male,"$25,000 to $49,999",South Atlantic
Atheist,,,,,,,,,,,,,30 - 44,Female,"$75,000 to $99,999",East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$150,000 to $174,999",South Atlantic
Roman Catholic,,Less than weekly,A few times per week,,Never,A few times per month,A few times per month,Once a month or less,,Once a month or less,Never,Once a year or less,60+,Male,"$200,000 and up",East North Central
Roman Catholic,,Never,A few times per week,Never,Never,A few times per week,Never,Never,Never,Never,Never,Never,60+,Male,"$50,000 to $74,999",New England
Atheist,,,,,,,,,,,,,30 - 44,Male,"$100,000 to $124,999",West South Central
Atheist,,,,,,,,,,,,,45 - 59,Male,"$25,000 to $49,999",Pacific
Protestant,,Weekly or more,A few times per week,Not applicable to my religious beliefs,Never,A few times per week,A few times per month,A few times per month,A few times per month,Not applicable to my religious beliefs,Every day,Once a month or less,18 - 29,Male,"$75,000 to $99,999",Pacific
Agnostic,,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,30 - 44,Female,Prefer not to answer,Pacific
Protestant,,Weekly or more,A few times per month,Not applicable to my religious beliefs,A few times per month,A few times per week,Once a month or less,A few times per month,A few times per month,Not applicable to my religious beliefs,Once a month or less,Not applicable to my religious beliefs,60+,Female,"$25,000 to $49,999",East North Central
Roman Catholic,,Weekly or more,A few times per month,Once a month or less,Never,A few times per week,A few times per month,Never,Never,Never,Never,Never,60+,Female,"$75,000 to $99,999",South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Female,"$75,000 to $99,999",South Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,45 - 59,Male,"$200,000 and up",East North Central
Atheist,,,,,,,,,,,,,45 - 59,Male,"$200,000 and up",South Atlantic
Roman Catholic,,Less than weekly,Once a year or less,Never,Once a year or less,Once a year or less,Once a year or less,Once a month or less,Once a year or less,Once a year or less,Never,Never,18 - 29,Female,"$50,000 to $74,999",South Atlantic
Roman Catholic,,Weekly or more,Every day,A few times per month,Every day,A few times per month,A few times per month,A few times per month,A few times per month,Once a month or less,Every day,Once a month or less,60+,Male,"$200,000 and up",East North Central
Atheist,,,,,,,,,,,,,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
Protestant,,Weekly or more,A few times per month,Never,Never,A few times per week,A few times per month,Once a month or less,Never,Never,Never,Never,45 - 59,Female,"$25,000 to $49,999",East South Central
Roman Catholic,,Less than weekly,Once a year or less,Never,A few times per month,A few times per month,Never,Once a month or less,Once a month or less,Never,Once a month or less,Once a year or less,60+,Female,"$25,000 to $49,999",West South Central
Roman Catholic,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Female,Prefer not to answer,South Atlantic
Roman Catholic,,Weekly or more,A few times per week,Once a year or less,Never,A few times per month,A few times per month,A few times per month,Never,Never,A few times per month,Never,45 - 59,Female,"$25,000 to $49,999",New England
None of these,Pentecost ,Less than weekly,A few times per month,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,Once a month or less,Once a month or less,Once a month or less,Never,Never,Never,60+,Female,"$10,000 to $24,999",South Atlantic
Protestant,,Less than weekly,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,30 - 44,Male,"$75,000 to $99,999",South Atlantic
None of these,Metaphysical,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Once a year or less,45 - 59,Female,"$150,000 to $174,999",Mountain
None of these,Babtist,Less than weekly,Every day,Once a year or less,Every day,Every day,A few times per month,Once a month or less,Once a year or less,Never,Every day,Once a year or less,30 - 44,Female,"$0 to $9,999",West South Central
Roman Catholic,,Less than weekly,A few times per month,Once a year or less,A few times per month,A few times per week,A few times per month,Never,Never,Once a month or less,Never,Once a year or less,60+,Male,"$200,000 and up",Middle Atlantic
Agnostic,,Less than weekly,Never,Never,Once a month or less,Once a month or less,Never,Once a month or less,Never,Never,Never,Never,30 - 44,Female,"$50,000 to $74,999",South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Male,"$10,000 to $24,999",South Atlantic
None of these,Spiritist,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,A few times per week,Never,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Female,"$100,000 to $124,999",East North Central
Roman Catholic,,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,45 - 59,Male,"$125,000 to $149,999",New England
None of these,undesided,Never,Once a year or less,Never,Once a year or less,Once a year or less,Never,Once a month or less,Once a month or less,Never,Never,Never,18 - 29,Female,"$25,000 to $49,999",East North Central
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Male,"$75,000 to $99,999",West South Central
Orthodox Christian,,Weekly or more,Once a year or less,Once a year or less,A few times per week,A few times per month,Never,Never,Never,A few times per week,Never,Never,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
Protestant,,Less than weekly,A few times per month,,Never,A few times per month,Once a month or less,Once a month or less,Once a month or less,Never,Never,Never,45 - 59,Male,"$200,000 and up",Mountain
Protestant,,Less than weekly,A few times per month,Never,Once a month or less,Once a month or less,Never,Once a month or less,Once a year or less,Never,Never,Never,45 - 59,Male,"$200,000 and up",Mountain
Protestant,,Weekly or more,A few times per week,Never,Once a month or less,A few times per month,Once a month or less,A few times per month,Never,Never,Never,Once a year or less,60+,Female,"$50,000 to $74,999",East South Central
Protestant,,Less than weekly,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,60+,Female,"$50,000 to $74,999",West South Central
Protestant,,Weekly or more,A few times per week,A few times per month,A few times per week,Every day,Every day,Every day,Never,A few times per week,Every day,Once a month or less,18 - 29,Female,"$25,000 to $49,999",West South Central
Roman Catholic,,Weekly or more,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Every day,Never,60+,Male,"$200,000 and up",East North Central
Roman Catholic,,Weekly or more,Once a month or less,Never,Once a year or less,Once a month or less,Never,Once a year or less,Never,Once a year or less,Once a year or less,Once a year or less,18 - 29,Female,"$50,000 to $74,999",West South Central
Roman Catholic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
Protestant,,Weekly or more,A few times per month,Never,Once a month or less,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,60+,Male,"$75,000 to $99,999",South Atlantic
Roman Catholic,,Less than weekly,A few times per month,A few times per month,Never,A few times per month,A few times per month,Once a month or less,Once a month or less,Never,Never,Never,45 - 59,Female,Prefer not to answer,Middle Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$25,000 to $49,999",South Atlantic
Atheist,,,,,,,,,,,,,60+,Male,Prefer not to answer,South Atlantic
None of these,Lutheran,Less than weekly,Never,Never,Never,A few times per month,A few times per month,Once a year or less,Once a year or less,Never,Once a year or less,Once a year or less,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
None of these,None,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Female,"$100,000 to $124,999",East North Central
Protestant,,Weekly or more,Every day,Not applicable to my religious beliefs,Every day,A few times per month,Once a month or less,A few times per week,A few times per month,Never,Not applicable to my religious beliefs,Once a year or less,60+,Female,Prefer not to answer,South Atlantic
Roman Catholic,,Never,Every day,Every day,A few times per week,Every day,Every day,Every day,Every day,Not applicable to my religious beliefs,Never,Once a year or less,18 - 29,Female,"$0 to $9,999",
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$50,000 to $74,999",West North Central
Atheist,,,,,,,,,,,,,18 - 29,Male,"$25,000 to $49,999",East North Central
None of these,Spiritual and Chritianity,Less than weekly,Never,Once a year or less,Never,Never,Never,Never,Never,Never,A few times per month,Never,30 - 44,Male,"$0 to $9,999",West North Central
Orthodox Christian,,Less than weekly,Once a month or less,Once a year or less,Once a year or less,A few times per week,Once a year or less,Once a month or less,Once a year or less,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",New England
Atheist,,,,,,,,,,,,,30 - 44,Male,"$75,000 to $99,999",West North Central
Roman Catholic,,Weekly or more,Every day,A few times per month,Never,A few times per week,Every day,Never,Never,Never,Every day,Never,60+,Female,"$50,000 to $74,999",New England
None of these,wicon,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Never,Never,Never,Not applicable to my religious beliefs,Never,Never,45 - 59,Male,"$25,000 to $49,999",East North Central
Protestant,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$200,000 and up",New England
Protestant,,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Male,Prefer not to answer,South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Female,"$75,000 to $99,999",South Atlantic
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Female,"$200,000 and up",Middle Atlantic
Protestant,,Less than weekly,Never,Never,Once a year or less,A few times per month,A few times per month,A few times per month,Never,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",West South Central
Protestant,,Weekly or more,Once a year or less,Never,Never,A few times per month,Once a month or less,Once a month or less,Once a month or less,Never,Never,Never,45 - 59,Female,Prefer not to answer,South Atlantic
Protestant,,Weekly or more,Once a month or less,Never,Never,Every day,A few times per month,Once a month or less,Once a month or less,Not applicable to my religious beliefs,A few times per month,Never,30 - 44,Female,Prefer not to answer,East South Central
None of these,Christian,Less than weekly,Never,Never,Never,A few times per month,Never,Never,Never,Never,Never,Never,60+,Female,"$150,000 to $174,999",Mountain
Jewish,,Less than weekly,Once a year or less,Not applicable to my religious beliefs,Once a year or less,Once a month or less,Once a year or less,Once a month or less,Every day,Once a year or less,Once a month or less,Not applicable to my religious beliefs,45 - 59,Female,"$0 to $9,999",Mountain
None of these,Non Denominational Christian,Weekly or more,A few times per week,Not applicable to my religious beliefs,A few times per month,Every day,A few times per month,A few times per month,Once a year or less,Not applicable to my religious beliefs,Once a year or less,Once a year or less,30 - 44,Female,"$25,000 to $49,999",
None of these,Christian,Less than weekly,Every day,Never,Every day,A few times per week,A few times per week,Never,Never,Never,Never,Never,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
Roman Catholic,,Never,A few times per week,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,45 - 59,Female,Prefer not to answer,East North Central
Atheist,,,,,,,,,,,,,18 - 29,Male,"$100,000 to $124,999",Middle Atlantic
Roman Catholic,,Weekly or more,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,45 - 59,Female,"$100,000 to $124,999",East North Central
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Not applicable to my religious beliefs,Never,18 - 29,Female,"$75,000 to $99,999",East North Central
None of these,christian,Weekly or more,Never,Never,A few times per week,A few times per month,Every day,Never,Never,Never,A few times per month,Never,30 - 44,Female,"$10,000 to $24,999",East South Central
Protestant,,Less than weekly,A few times per week,Not applicable to my religious beliefs,A few times per month,A few times per week,Never,Once a month or less,Once a month or less,Never,Once a month or less,Never,30 - 44,Male,"$75,000 to $99,999",East North Central
Protestant,,Less than weekly,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,60+,Female,"$10,000 to $24,999",South Atlantic
None of these,Anabaptist,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,A few times per month,Once a month or less,Once a year or less,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Male,"$50,000 to $74,999",West North Central
None of these,"I was  raised Catholic, but no longer practice.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$200,000 and up",South Atlantic
None of these,Amish,Less than weekly,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,60+,Female,Prefer not to answer,West North Central
Orthodox Christian,,Weekly or more,Never,Never,Once a year or less,Once a month or less,Once a month or less,A few times per month,A few times per month,Never,Never,Never,30 - 44,Male,"$50,000 to $74,999",East North Central
Roman Catholic,,Less than weekly,Never,,A few times per month,Once a month or less,,Never,Never,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
Roman Catholic,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$0 to $9,999",Middle Atlantic
Protestant,,Weekly or more,A few times per month,Never,A few times per month,A few times per week,Once a month or less,A few times per month,A few times per month,Never,Once a month or less,Never,45 - 59,Female,"$150,000 to $174,999",East North Central
None of these,Lutheran,Never,Once a year or less,Never,Once a year or less,Once a year or less,Once a year or less,Once a month or less,Never,Never,A few times per month,Never,30 - 44,Female,"$25,000 to $49,999",West North Central
Roman Catholic,,Weekly or more,Once a month or less,Once a month or less,Never,A few times per week,Once a month or less,Once a month or less,Once a month or less,Once a year or less,A few times per week,Never,45 - 59,Male,"$25,000 to $49,999",East South Central
Roman Catholic,,Weekly or more,Once a month or less,Never,Once a year or less,Once a month or less,Never,Once a year or less,Never,Never,Every day,Never,30 - 44,Female,"$50,000 to $74,999",East North Central
Roman Catholic,,Never,Never,Never,Never,A few times per month,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$10,000 to $24,999",East North Central
Atheist,,,,,,,,,,,,,30 - 44,Male,"$50,000 to $74,999",East North Central
None of these,Heathen / Pagan / Wiccan,Weekly or more,A few times per week,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,Never,Never,Never,Never,Every day,Never,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
Roman Catholic,,Weekly or more,Every day,Every day,Every day,Every day,Every day,A few times per week,A few times per week,A few times per week,Every day,A few times per week,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
Protestant,,Less than weekly,Once a month or less,Never,Once a year or less,Once a month or less,Once a year or less,Once a month or less,Once a year or less,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Female,"$25,000 to $49,999",East North Central
Agnostic,,Never,Never,Never,Never,Once a year or less,Never,Once a year or less,Once a year or less,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",East North Central
Protestant,,Never,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,45 - 59,Female,"$100,000 to $124,999",New England
Roman Catholic,,Never,Once a year or less,Never,Once a year or less,Once a month or less,Never,Never,Never,Once a year or less,Never,Never,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
Agnostic,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$75,000 to $99,999",East North Central
Protestant,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,A few times per month,Never,Never,Never,Never,Never,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
Agnostic,,Never,Never,Not applicable to my religious beliefs,Never,Once a month or less,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,60+,Female,"$75,000 to $99,999",South Atlantic
None of these,Baptist,Weekly or more,A few times per month,Never,Every day,A few times per week,A few times per week,A few times per week,A few times per month,Once a year or less,Every day,A few times per month,45 - 59,Female,Prefer not to answer,Middle Atlantic
None of these,born again Christian,Weekly or more,Every day,Never,Every day,Every day,Every day,Every day,A few times per week,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,45 - 59,Male,"$75,000 to $99,999",South Atlantic
None of these,Christian non-denominational,Weekly or more,Every day,Once a year or less,Every day,Every day,Every day,Every day,Never,Every day,Every day,Once a year or less,45 - 59,Male,"$200,000 and up",Pacific
Roman Catholic,,Weekly or more,A few times per month,Never,Never,A few times per month,Never,Once a year or less,Never,Once a year or less,Once a year or less,Never,45 - 59,Female,"$100,000 to $124,999",East North Central
Orthodox Christian,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$200,000 and up",Middle Atlantic
None of these,I have no religion. I believe in love.,Never,Once a month or less,Once a year or less,Once a year or less,Never,Never,Never,Once a month or less,Every day,Once a year or less,Once a year or less,18 - 29,Female,"$25,000 to $49,999",South Atlantic
None of these,"i hold a belief of some form of afterlife, but i am not a memeber of any religious group. Instead, i enjoy learning about all religions, as well as scientific advancements, and using the combination to ponder on what that afterlife might or might not be.",Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Male,"$25,000 to $49,999",New England
None of these,.,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$25,000 to $49,999",South Atlantic
None of these,Spiritual ,Less than weekly,Never,Never,,Never,Once a year or less,Never,Once a month or less,Never,Never,Never,45 - 59,Male,"$75,000 to $99,999",South Atlantic
Protestant,,Less than weekly,Once a month or less,Once a month or less,Once a month or less,A few times per week,Once a month or less,A few times per week,Once a month or less,Once a year or less,Never,Once a year or less,45 - 59,Female,"$25,000 to $49,999",Pacific
Roman Catholic,,Less than weekly,A few times per week,Never,A few times per month,Once a month or less,A few times per month,A few times per month,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",East North Central
Agnostic,,Less than weekly,Never,Never,Once a month or less,Once a month or less,Once a year or less,Once a month or less,Once a year or less,Never,Once a year or less,Once a year or less,18 - 29,Female,"$75,000 to $99,999",New England
Roman Catholic,,Less than weekly,A few times per week,Once a year or less,A few times per month,A few times per week,A few times per week,A few times per month,A few times per week,Never,Never,A few times per month,30 - 44,Female,Prefer not to answer,East North Central
None of these,Christian,Never,Never,Never,Once a year or less,A few times per month,Once a month or less,A few times per month,Never,Never,Never,Never,18 - 29,Female,Prefer not to answer,East North Central
Protestant,,Weekly or more,Never,Never,Never,A few times per month,A few times per month,A few times per month,A few times per month,Never,Never,Never,60+,Female,Prefer not to answer,South Atlantic
Atheist,,,,,,,,,,,,,30 - 44,Female,"$175,000 to $199,999",Middle Atlantic
None of these,Christian,Less than weekly,Once a month or less,Never,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,18 - 29,Female,"$100,000 to $124,999",East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",West North Central
Roman Catholic,,Never,Never,Never,Never,Never,Never,Never,A few times per week,Never,Never,Never,30 - 44,Male,"$75,000 to $99,999",
Roman Catholic,,Less than weekly,Never,Never,A few times per month,Every day,Every day,Once a month or less,Once a year or less,Never,Every day,Never,30 - 44,Female,"$0 to $9,999",West North Central
Muslim,,Weekly or more,A few times per month,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,45 - 59,Male,"$0 to $9,999",East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$125,000 to $149,999",Mountain
Protestant,,Less than weekly,Never,Never,Once a year or less,A few times per week,A few times per week,Once a year or less,Never,Never,Never,Never,45 - 59,Female,Prefer not to answer,East North Central
Protestant,,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Once a month or less,Once a year or less,Once a month or less,Once a year or less,A few times per week,Never,Never,45 - 59,Female,"$75,000 to $99,999",East South Central
